Summary Metric,Value
number of repeated section codes,469
total rows involved in repeated section codes,2498
max duplicate count for a single section code,19

section number,generated id,title/name,level,parentId,parent section number if available,parent title if available,sortOrder
00430,1995-00430-8,Proposed Subcontractors Forms,4,1995-00430-3,00430,Bid Form Supplements,40
00430,1995-00430-9,Unit Price Forms,4,1995-00430-3,00430,Bid Form Supplements,41
00430,1995-00430-10,Wage Rate Forms,4,1995-00430-3,00430,Bid Form Supplements,42
00430,1995-00430-11,Work Plan and Equipment Schedule,4,1995-00430-3,00430,Bid Form Supplements,43
00450,1995-00450,Contractor's Qualification,4,1995-00430-3,00430,Bid Form Supplements,44
00450,1995-00450-2,Contractor's Qualification,4,1995-00430-3,00430,Bid Form Supplements,45
00450,1995-00450-3,Minority Business Enterprise Affidavit,4,1995-00430-3,00430,Bid Form Supplements,46
00450,1995-00450-4,Non-collusion Affidavit,4,1995-00430-3,00430,Bid Form Supplements,47
00450,1995-00450-5,Qualification Statement for Waste Disposal,4,1995-00430-3,00430,Bid Form Supplements,48
00450,1995-00450-6,Representations and Certifications,3,1995-00400,00400,BID FORMS AND SUPPLEMENTS,49
00450,1995-00450-7,Statement of Disposal Facility,4,1995-00450-6,00450,Representations and Certifications,50
00450,1995-00450-8,Worker's Compensation Certificate Schedule,4,1995-00450-6,00450,Representations and Certifications,51
00520,1995-00520,Agreement - Construction Management,4,1995-00510,00510,Notice of Award,55
00520,1995-00520-2,Agreement - Construction Management,4,1995-00510,00510,Notice of Award,56
00520,1995-00520-3,Agreement - Cost-Plus Fee,4,1995-00510,00510,Notice of Award,57
00520,1995-00520-4,Agreement - Cost-Plus Fee,4,1995-00510,00510,Notice of Award,58
00520,1995-00520-5,Agreement - Procurement,4,1995-00510,00510,Notice of Award,59
00520,1995-00520-6,Agreement - Stipulated Sum,4,1995-00510,00510,Notice of Award,60
00520,1995-00520-7,Agreement - Stipulated Sum,4,1995-00510,00510,Notice of Award,61
00520,1995-00520-8,Agreement - Unit Price,4,1995-00510,00510,Notice of Award,62
00520,1995-00520-9,Agreement - Unit Price,4,1995-00510,00510,Notice of Award,63
00520,1995-00520-10,Agreement Form,3,1995-00500,00500,AGREEMENT,64
00540,1995-00540,Allowance Amounts,4,1995-00520-10,00520,Agreement Form,65
00540,1995-00540-2,Attachments to Agreement Form,3,1995-00500,00500,AGREEMENT,66
00540,1995-00540-3,Supplementary Scope Statement,4,1995-00540-2,00540,Attachments to Agreement Form,67
00540,1995-00540-4,Unit Price Schedule,4,1995-00540-2,00540,Attachments to Agreement Form,68
00570,1995-00570,Definitions,3,1995-00500,00500,AGREEMENT,70
00570,1995-00570-2,Definitions,3,1995-00500,00500,AGREEMENT,71
00610,1995-00610,Bonds,3,1995-00600,00600,BONDS AND CERTIFICATES,73
00610,1995-00610-2,Consent of Surety,4,1995-00610,00610,Bonds,74
00610,1995-00610-3,Consent of Surety,4,1995-00610,00610,Bonds,75
00610,1995-00610-4,Lien Bonds,4,1995-00610,00610,Bonds,76
00610,1995-00610-5,Maintenance Bonds,4,1995-00610,00610,Bonds,77
00610,1995-00610-6,Payment Bonds,4,1995-00610,00610,Bonds,78
00610,1995-00610-7,Performance Bonds,4,1995-00610,00610,Bonds,79
00610,1995-00610-8,Special Bonds,4,1995-00610,00610,Bonds,80
00610,1995-00610-9,Warranty Bonds,4,1995-00610,00610,Bonds,81
00620,1995-00620,Acceptance Certificate,4,1995-00610,00610,Bonds,82
00620,1995-00620-2,Application for Payment Certificate,4,1995-00610,00610,Bonds,83
00620,1995-00620-3,Certificates,3,1995-00600,00600,BONDS AND CERTIFICATES,84
00620,1995-00620-4,Certificates of Compliance,4,1995-00620-3,00620,Certificates,85
00620,1995-00620-5,Certificates of Final Performance and Completion,4,1995-00620-3,00620,Certificates,86
00620,1995-00620-6,Certificates of Insurance,4,1995-00620-3,00620,Certificates,87
00620,1995-00620-7,Certificates of Substantial Performance and Completion,4,1995-00620-3,00620,Certificates,88
00620,1995-00620-8,Final Settlement Certificate,4,1995-00620-3,00620,Certificates,89
00800,1995-00800,Anti-Pollution Measures,4,1995-00700,00700,GENERAL CONDITIONS,93
00800,1995-00800-2,Assigned Contracts,4,1995-00700,00700,GENERAL CONDITIONS,94
00800,1995-00800-3,Equal Employment Opportunity Requirements,4,1995-00700,00700,GENERAL CONDITIONS,95
00800,1995-00800-4,Health and Safety Criteria,4,1995-00700,00700,GENERAL CONDITIONS,96
00800,1995-00800-5,Insurance Requirements,4,1995-00700,00700,GENERAL CONDITIONS,97
00800,1995-00800-6,Labor Stabilization Agreement,4,1995-00700,00700,GENERAL CONDITIONS,98
00800,1995-00800-7,Letter of Assent,4,1995-00700,00700,GENERAL CONDITIONS,99
00800,1995-00800-8,Non-Segregated Facilities Requirements,4,1995-00700,00700,GENERAL CONDITIONS,100
00800,1995-00800-9,Procurement Contracts,4,1995-00700,00700,GENERAL CONDITIONS,101
00800,1995-00800-10,Specific Project Requirements,4,1995-00700,00700,GENERAL CONDITIONS,102
00800,1995-00800-11,Statutory Requirements,4,1995-00700,00700,GENERAL CONDITIONS,103
00800,1995-00800-12,SUPPLEMENTARY CONDITIONS,2,,,,104
00800,1995-00800-13,Wage Determination Schedule,4,1995-00800-12,00800,SUPPLEMENTARY CONDITIONS,105
00800,1995-00800-14,Wage Rates Requirements,4,1995-00800-12,00800,SUPPLEMENTARY CONDITIONS,106
00890,1995-00890,Notices,4,1995-00800-12,00800,SUPPLEMENTARY CONDITIONS,107
00890,1995-00890-2,Permits,3,1995-00800-12,00800,SUPPLEMENTARY CONDITIONS,108
00930,1995-00930,Change Order Proposals,4,1995-00920,00920,Claims,112
00930,1995-00930-2,Change Order Requests,4,1995-00920,00920,Claims,113
00930,1995-00930-3,Clarification Notices,4,1995-00920,00920,Claims,114
00930,1995-00930-4,Clarifications and Proposals,3,1995-00900,00900,ADDENDA AND MODIFICATIONS,115
00930,1995-00930-5,Minor Changes in the Work,4,1995-00930-4,00930,Clarifications and Proposals,116
00930,1995-00930-6,Minor Changes in the Work,4,1995-00930-4,00930,Clarifications and Proposals,117
00930,1995-00930-7,Proposal Requests,4,1995-00930-4,00930,Clarifications and Proposals,118
00930,1995-00930-8,Proposal Worksheet Summaries,4,1995-00930-4,00930,Clarifications and Proposals,119
00930,1995-00930-9,Requests for Intrepretation,4,1995-00930-4,00930,Clarifications and Proposals,120
00940,1995-00940,Amendments,4,1995-00930-4,00930,Clarifications and Proposals,121
00940,1995-00940-2,Architect's Supplemental Instructions,4,1995-00930-4,00930,Clarifications and Proposals,122
00940,1995-00940-3,Change Orders,4,1995-00930-4,00930,Clarifications and Proposals,123
00940,1995-00940-4,Construction Change Directives,4,1995-00930-4,00930,Clarifications and Proposals,124
00940,1995-00940-5,Field Order,4,1995-00930-4,00930,Clarifications and Proposals,125
00940,1995-00940-6,Modifications,3,1995-00900,00900,ADDENDA AND MODIFICATIONS,126
00940,1995-00940-7,Supplemental Instructions,4,1995-00940-6,00940,Modifications,127
00940,1995-00940-8,Work Change Directives,4,1995-00940-6,00940,Modifications,128
00940,1995-00940-9,Written Amendments,4,1995-00940-6,00940,Modifications,129
01110,1995-01110,Summary of Work,3,1995-01100,01100,SUMMARY,132
01110,1995-01110-2,Work By Owner,4,1995-01110,01110,Summary of Work,133
01110,1995-01110-3,Work Covered By Contract Documents,4,1995-01110,01110,Summary of Work,134
01120,1995-01120,Construction By Owner,4,1995-01110,01110,Summary of Work,135
01120,1995-01120-2,Construction Sequence,4,1995-01110,01110,Summary of Work,136
01120,1995-01120-3,Contract Interface,4,1995-01110,01110,Summary of Work,137
01120,1995-01120-4,Multiple Contract Summary,3,1995-01100,01100,SUMMARY,138
01120,1995-01120-5,Summary of Contracts,4,1995-01120-4,01120,Multiple Contract Summary,139
01140,1995-01140,Access to Site,4,1995-01120-4,01120,Multiple Contract Summary,140
01140,1995-01140-2,Coordination With Occupants,4,1995-01120-4,01120,Multiple Contract Summary,141
01140,1995-01140-3,Use of Premises,4,1995-01120-4,01120,Multiple Contract Summary,142
01140,1995-01140-4,Use of Site,4,1995-01120-4,01120,Multiple Contract Summary,143
01140,1995-01140-5,Work Restrictions,3,1995-01100,01100,SUMMARY,144
01210,1995-01210,Allowances,3,1995-01200,01200,PRICE AND PAYMENT PROCEDURES,147
01210,1995-01210-2,Cash Allowances,4,1995-01210,01210,Allowances,148
01210,1995-01210-3,Contingency Allowances,4,1995-01210,01210,Allowances,149
01210,1995-01210-4,Inspecting and Testing Allowances,4,1995-01210,01210,Allowances,150
01210,1995-01210-5,Installation Allowances,4,1995-01210,01210,Allowances,151
01210,1995-01210-6,Product Allowances,4,1995-01210,01210,Allowances,152
01210,1995-01210-7,Quantity Allowances,4,1995-01210,01210,Allowances,153
01290,1995-01290,Applications and Certificates for Payment,4,1995-01270,01270,Unit Prices,158
01290,1995-01290-2,Payment Procedures,3,1995-01200,01200,PRICE AND PAYMENT PROCEDURES,159
01290,1995-01290-3,Schedule of Values,4,1995-01290-2,01290,Payment Procedures,160
01310,1995-01310,Project Coordination,4,1995-01300,01300,ADMINISTRATIVE REQUIREMENTS,162
01310,1995-01310-2,Project Management and Coordination,3,1995-01300,01300,ADMINISTRATIVE REQUIREMENTS,163
01310,1995-01310-3,Project Meetings,4,1995-01310-2,01310,Project Management and Coordination,164
01310,1995-01310-4,Project Site Administration,4,1995-01310-2,01310,Project Management and Coordination,165
01320,1995-01320,Construction Photographs,4,1995-01310-2,01310,Project Management and Coordination,166
01320,1995-01320-2,Construction Progress Documentation,3,1995-01300,01300,ADMINISTRATIVE REQUIREMENTS,167
01320,1995-01320-3,Contract Progress Reporting,4,1995-01320-2,01320,Construction Progress Documentation,168
01320,1995-01320-4,Network Analysis Schedulesg,4,1995-01320-2,01320,Construction Progress Documentation,169
01320,1995-01320-5,Periodic Site Observation,4,1995-01320-2,01320,Construction Progress Documentation,170
01320,1995-01320-6,Progress Schedules and Reports,4,1995-01320-2,01320,Construction Progress Documentation,171
01320,1995-01320-7,Purchase Order Tracking,4,1995-01320-2,01320,Construction Progress Documentation,172
01320,1995-01320-8,Scheduling of Construction,4,1995-01320-2,01320,Construction Progress Documentation,173
01320,1995-01320-9,Survey and Layout Data,4,1995-01320-2,01320,Construction Progress Documentation,174
01330,1995-01330,Certificates,4,1995-01320-2,01320,Construction Progress Documentation,175
01330,1995-01330-2,Design Data,4,1995-01320-2,01320,Construction Progress Documentation,176
01330,1995-01330-3,Field Test Data,4,1995-01320-2,01320,Construction Progress Documentation,177
01330,1995-01330-4,"Shop Drawings, Product Data, and Samples",4,1995-01320-2,01320,Construction Progress Documentation,178
01330,1995-01330-5,Source Quality Control Reports,4,1995-01320-2,01320,Construction Progress Documentation,179
01330,1995-01330-6,Submittal Procedures,3,1995-01300,01300,ADMINISTRATIVE REQUIREMENTS,180
01420,1995-01420,Abbreviations and Acronyms,4,1995-01410,01410,Regulatory Requirements,184
01420,1995-01420-2,Definitions,4,1995-01410,01410,Regulatory Requirements,185
01420,1995-01420-3,Reference Standards,4,1995-01410,01410,Regulatory Requirements,186
01420,1995-01420-4,References,3,1995-01400,01400,QUALITY REQUIREMENTS,187
01420,1995-01420-5,Symbols,4,1995-01420-4,01420,References,188
01430,1995-01430,Fabricator Qualifications,4,1995-01420-4,01420,References,189
01430,1995-01430-2,Installer Qualifications,4,1995-01420-4,01420,References,190
01430,1995-01430-3,Manufacturer Qualifications,4,1995-01420-4,01420,References,191
01430,1995-01430-4,Manufacturer's Field Services,4,1995-01420-4,01420,References,192
01430,1995-01430-5,Quality Assurance,3,1995-01400,01400,QUALITY REQUIREMENTS,193
01430,1995-01430-6,Supplier Qualifications,4,1995-01430-5,01430,Quality Assurance,194
01430,1995-01430-7,Testing Agency Qualifications,4,1995-01430-5,01430,Quality Assurance,195
01450,1995-01450,Contractor's Quality Control,4,1995-01430-5,01430,Quality Assurance,196
01450,1995-01450-2,Field Quality Control,4,1995-01430-5,01430,Quality Assurance,197
01450,1995-01450-3,Field Samples,4,1995-01430-5,01430,Quality Assurance,198
01450,1995-01450-4,Mock-up Requirements,4,1995-01430-5,01430,Quality Assurance,199
01450,1995-01450-5,Plant Inspection,4,1995-01430-5,01430,Quality Assurance,200
01450,1995-01450-6,Quality Control,3,1995-01400,01400,QUALITY REQUIREMENTS,201
01450,1995-01450-7,Source Quality Control,4,1995-01450-6,01450,Quality Control,202
01450,1995-01450-8,Testing and Inspection Services,4,1995-01450-6,01450,Quality Control,203
01450,1995-01450-9,Testing Laboratory Services,4,1995-01450-6,01450,Quality Control,204
01510,1995-01510,Temporary Electricity,4,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,206
01510,1995-01510-2,Temporary Fire Protection,4,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,207
01510,1995-01510-3,Temporary Fuel Oil,4,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,208
01510,1995-01510-4,"Temporary Heating, Cooling, and Ventilating",4,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,209
01510,1995-01510-5,Temporary Lighting,4,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,210
01510,1995-01510-6,Temporary Natural Gas,4,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,211
01510,1995-01510-7,Temporary Telephone,4,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,212
01510,1995-01510-8,Temporary Utilities,3,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,213
01510,1995-01510-9,Temporary Water,4,1995-01510-8,01510,Temporary Utilities,214
01520,1995-01520,Construction Facilities,3,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,215
01520,1995-01520-2,Field Offices and Sheds,4,1995-01520,01520,Construction Facilities,216
01520,1995-01520-3,First Aid,4,1995-01520,01520,Construction Facilities,217
01520,1995-01520-4,Sanitary Facilities,4,1995-01520,01520,Construction Facilities,218
01530,1995-01530,Temporary Bridges,4,1995-01520,01520,Construction Facilities,219
01530,1995-01530-2,Temporary Construction,3,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,220
01530,1995-01530-3,Temporary Decking,4,1995-01530-2,01530,Temporary Construction,221
01530,1995-01530-4,Temporary Overpasses,4,1995-01530-2,01530,Temporary Construction,222
01530,1995-01530-5,Temporary Ramps,4,1995-01530-2,01530,Temporary Construction,223
01530,1995-01530-6,Temporary Runarounds,4,1995-01530-2,01530,Temporary Construction,224
01540,1995-01540,Construction Aids,3,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,225
01540,1995-01540-2,"Construction Elevators, Hoists, and Cranes",4,1995-01540,01540,Construction Aids,226
01540,1995-01540-3,"Construction Elevators, Hoists, and Cranes",4,1995-01540,01540,Construction Aids,227
01540,1995-01540-4,"Construction Elevators, Hoists, and Cranes",4,1995-01540,01540,Construction Aids,228
01540,1995-01540-5,Scaffolding and Platforms,4,1995-01540,01540,Construction Aids,229
01540,1995-01540-6,Swing Staging,4,1995-01540,01540,Construction Aids,230
01550,1995-01550,Access Roads,4,1995-01540,01540,Construction Aids,231
01550,1995-01550-2,Haul Routes,4,1995-01540,01540,Construction Aids,232
01550,1995-01550-3,Parking Areas,4,1995-01540,01540,Construction Aids,233
01550,1995-01550-4,Temporary Roads,4,1995-01540,01540,Construction Aids,234
01550,1995-01550-5,Traffic Control,4,1995-01540,01540,Construction Aids,235
01550,1995-01550-6,Vehicular Access and Parking,3,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,236
01560,1995-01560,Air Barriers,4,1995-01550-6,01550,Vehicular Access and Parking,237
01560,1995-01560-2,Barricades,4,1995-01550-6,01550,Vehicular Access and Parking,238
01560,1995-01560-3,Dust Barriers,4,1995-01550-6,01550,Vehicular Access and Parking,239
01560,1995-01560-4,Fences,4,1995-01550-6,01550,Vehicular Access and Parking,240
01560,1995-01560-5,Noise Barriers,4,1995-01550-6,01550,Vehicular Access and Parking,241
01560,1995-01560-6,Pollution Control,4,1995-01550-6,01550,Vehicular Access and Parking,242
01560,1995-01560-7,Pollution Control,4,1995-01550-6,01550,Vehicular Access and Parking,243
01560,1995-01560-8,Protective Walkways,4,1995-01550-6,01550,Vehicular Access and Parking,244
01560,1995-01560-9,Security Measures,4,1995-01550-6,01550,Vehicular Access and Parking,245
01560,1995-01560-10,Security Measures,4,1995-01550-6,01550,Vehicular Access and Parking,246
01560,1995-01560-11,Temporary Barriers and Enclosures,3,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,247
01560,1995-01560-12,Tree and Plant Protection,4,1995-01560-11,01560,Temporary Barriers and Enclosures,248
01570,1995-01570,Erosion and Sediment Control,4,1995-01560-11,01560,Temporary Barriers and Enclosures,249
01570,1995-01570-2,Pest Control,4,1995-01560-11,01560,Temporary Barriers and Enclosures,250
01570,1995-01570-3,Temporary Controls,3,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,251
01580,1995-01580,Project Identification,3,1995-01500,01500,TEMPORARY FACILITIES AND CONTROLS,252
01580,1995-01580-2,Project Signs,4,1995-01580,01580,Project Identification,253
01630,1995-01630,Product Substitution Procedures,3,1995-01600,01600,PRODUCT REQUIREMENTS,257
01630,1995-01630-2,Substitution Procedures During Bidding,4,1995-01630,01630,Product Substitution Procedures,258
01630,1995-01630-3,Substitution Procedures During Construction,4,1995-01630,01630,Product Substitution Procedures,259
01710,1995-01710,Acceptance of Conditions,4,1995-01700,01700,EXECUTION REQUIREMENTS,264
01710,1995-01710-2,Examination,3,1995-01700,01700,EXECUTION REQUIREMENTS,265
01710,1995-01710-3,Existing Conditions,4,1995-01710-2,01710,Examination,266
01710,1995-01710-4,Existing Conditions,4,1995-01710-2,01710,Examination,267
01720,1995-01720,Construction Layout,4,1995-01710-2,01710,Examination,268
01720,1995-01720-2,Field Engineering,4,1995-01710-2,01710,Examination,269
01720,1995-01720-3,Preparation,3,1995-01700,01700,EXECUTION REQUIREMENTS,270
01720,1995-01720-4,Protection of Adjacent Construction,4,1995-01720-3,01720,Preparation,271
01720,1995-01720-5,Surveying,4,1995-01720-3,01720,Preparation,272
01730,1995-01730,Application,4,1995-01720-3,01720,Preparation,273
01730,1995-01730-2,Cutting and Patching,4,1995-01720-3,01720,Preparation,274
01730,1995-01730-3,Erection,4,1995-01720-3,01720,Preparation,275
01730,1995-01730-4,Execution,3,1995-01700,01700,EXECUTION REQUIREMENTS,276
01730,1995-01730-5,Existing Products,4,1995-01730-4,01730,Execution,277
01730,1995-01730-6,Installation,4,1995-01730-4,01730,Execution,278
01730,1995-01730-7,Selective Demolition,4,1995-01730-4,01730,Execution,279
01730,1995-01730-8,Selective Demolition,4,1995-01730-4,01730,Execution,280
01740,1995-01740,Cleaning,3,1995-01700,01700,EXECUTION REQUIREMENTS,281
01740,1995-01740-2,Final Cleaning,4,1995-01740,01740,Cleaning,282
01740,1995-01740-3,Progress Cleaning,4,1995-01740,01740,Cleaning,283
01740,1995-01740-4,Site Maintenance,4,1995-01740,01740,Cleaning,284
01750,1995-01750,Checkout Procedures,4,1995-01740,01740,Cleaning,285
01750,1995-01750-2,Starting and Adjusting,3,1995-01700,01700,EXECUTION REQUIREMENTS,286
01770,1995-01770,Closeout Procedures,3,1995-01700,01700,EXECUTION REQUIREMENTS,288
01770,1995-01770-2,Final Site Review,4,1995-01770,01770,Closeout Procedures,289
01770,1995-01770-3,Final Site Review,4,1995-01770,01770,Closeout Procedures,290
01780,1995-01780,Closeout Submittals,3,1995-01700,01700,EXECUTION REQUIREMENTS,291
01780,1995-01780-2,Final Site Survey,4,1995-01780,01780,Closeout Submittals,292
01780,1995-01780-3,Maintenance Contracts,4,1995-01780,01780,Closeout Submittals,293
01780,1995-01780-4,Maintenance Data,4,1995-01780,01780,Closeout Submittals,294
01780,1995-01780-5,Maintenance Materials,4,1995-01780,01780,Closeout Submittals,295
01780,1995-01780-6,Operation Data,4,1995-01780,01780,Closeout Submittals,296
01780,1995-01780-7,Preventive Maintenance Instructions,4,1995-01780,01780,Closeout Submittals,297
01780,1995-01780-8,Product Bonds,4,1995-01780,01780,Closeout Submittals,298
01780,1995-01780-9,Product Warranties,4,1995-01780,01780,Closeout Submittals,299
01780,1995-01780-10,Project Record Documents,4,1995-01780,01780,Closeout Submittals,300
01780,1995-01780-11,Spare Parts,4,1995-01780,01780,Closeout Submittals,301
01810,1995-01810,Commissioning,3,1995-01800,01800,FACILITY OPERATION,303
01810,1995-01810-2,Commissioning Summary,4,1995-01810,01810,Commissioning,304
01810,1995-01810-3,System Performance Evaluation,4,1995-01810,01810,Commissioning,305
01810,1995-01810-4,"Test, Adjust, and Balance Procedures",4,1995-01810,01810,Commissioning,306
01830,1995-01830,Operation and Maintenance,3,1995-01800,01800,FACILITY OPERATION,308
01830,1995-01830-2,Operation and Maintenance,3,1995-01800,01800,FACILITY OPERATION,309
01900,1995-01900,Decommissioning Systems and Equipment,4,1995-01890,01890,Reconstruction,311
01900,1995-01900-2,FACILITY DECOMMISSIONING,2,1995-01000,01000,GENERAL REQUIREMENTS,312
01900,1995-01900-3,Facility Demolition and Removal,4,1995-01900-2,01900,FACILITY DECOMMISSIONING,313
01900,1995-01900-4,Hazardous Materials Abatement,4,1995-01900-2,01900,FACILITY DECOMMISSIONING,314
01900,1995-01900-5,Hazardous Materials Abatement,4,1995-01900-2,01900,FACILITY DECOMMISSIONING,315
01900,1995-01900-6,Hazardous Materials Abatement,4,1995-01900-2,01900,FACILITY DECOMMISSIONING,316
01900,1995-01900-7,Hazardous Materials Removal and Disposal,4,1995-01900-2,01900,FACILITY DECOMMISSIONING,317
01900,1995-01900-8,Protection of Deactivated,4,1995-01900-2,01900,FACILITY DECOMMISSIONING,318
02000,1995-02000,SITE CONSTRUCTION,1,,,,319
02000,1995-02000-2,SITE CONSTRUCTION,1,,,,320
02000,1995-02000-3,SITE CONSTRUCTION,1,,,,321
02000,1995-02000-4,SITE CONSTRUCTION,1,,,,322
02000,1995-02000-5,SITE CONSTRUCTION,1,,,,323
02050,1995-02050,BASIC SITE MATERIALS AND METHODS,2,1995-02000-5,02000,SITE CONSTRUCTION,324
02050,1995-02050-2,BASIC SITE MATERIALS AND METHODS,2,1995-02000-5,02000,SITE CONSTRUCTION,325
02050,1995-02050-3,BASIC SITE MATERIALS AND METHODS,2,1995-02000-5,02000,SITE CONSTRUCTION,326
02050,1995-02050-4,BASIC SITE MATERIALS AND METHODS,2,1995-02000-5,02000,SITE CONSTRUCTION,327
02050,1995-02050-5,BASIC SITE MATERIALS AND METHODS,2,1995-02000-5,02000,SITE CONSTRUCTION,328
02055,1995-02055,Soils,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,329
02055,1995-02055-2,Soils,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,330
02060,1995-02060,Aggregate,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,331
02060,1995-02060-2,Aggregate,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,332
02065,1995-02065,Asphalt Cement,4,1995-02060-2,02060,Aggregate,333
02065,1995-02065-2,Cement and Concrete,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,334
02065,1995-02065-3,Cement and Concrete,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,335
02065,1995-02065-4,Hydraulic Cement,4,1995-02065-3,02065,Cement and Concrete,336
02065,1995-02065-5,Plant-Mixed Bituminous Concrete,4,1995-02065-3,02065,Cement and Concrete,337
02065,1995-02065-6,Recycled Plant-Mixed Bituminous Concrete,4,1995-02065-3,02065,Cement and Concrete,338
02070,1995-02070,Geocomposite Edge Drains,4,1995-02065-3,02065,Cement and Concrete,339
02070,1995-02070-2,Geocomposite In-Place Wall Drains,4,1995-02065-3,02065,Cement and Concrete,340
02070,1995-02070-3,Geogrids,4,1995-02065-3,02065,Cement and Concrete,341
02070,1995-02070-4,Geogrids,4,1995-02065-3,02065,Cement and Concrete,342
02070,1995-02070-5,Geosynthetics,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,343
02070,1995-02070-6,Geosynthetics,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,344
02070,1995-02070-7,Geotextiles,4,1995-02070-6,02070,Geosynthetics,345
02070,1995-02070-8,Geotextiles,4,1995-02070-6,02070,Geosynthetics,346
02080,1995-02080,Hydrants,4,1995-02070-6,02070,Geosynthetics,347
02080,1995-02080-2,Hydrants,4,1995-02070-6,02070,Geosynthetics,348
02080,1995-02080-3,Manholes,4,1995-02070-6,02070,Geosynthetics,349
02080,1995-02080-4,Meters,4,1995-02070-6,02070,Geosynthetics,350
02080,1995-02080-5,Meters,4,1995-02070-6,02070,Geosynthetics,351
02080,1995-02080-6,Meters,4,1995-02070-6,02070,Geosynthetics,352
02080,1995-02080-7,Meters,4,1995-02070-6,02070,Geosynthetics,353
02080,1995-02080-8,Utility Boxes,4,1995-02070-6,02070,Geosynthetics,354
02080,1995-02080-9,Utility Materials,3,1995-02050-5,02050,BASIC SITE MATERIALS AND METHODS,355
02080,1995-02080-10,Valves,4,1995-02080-9,02080,Utility Materials,356
02150,1995-02150,Air and Steam Stripping,4,1995-02145,02145,Groundwater Treatment Systems,367
02150,1995-02150-2,Hazardous Waste Recovery Processes,3,1995-02100,02100,SITE REMEDIATION,368
02150,1995-02150-3,Soil Vapor Extraction,4,1995-02150-2,02150,Hazardous Waste Recovery Processes,369
02150,1995-02150-4,Soil Washing and Flushing,4,1995-02150-2,02150,Hazardous Waste Recovery Processes,370
02160,1995-02160,Coagulation and Flocculation,4,1995-02150-2,02150,Hazardous Waste Recovery Processes,371
02160,1995-02160-2,Physical Treatment,3,1995-02100,02100,SITE REMEDIATION,372
